,english,arabic
2098,"Having regard to the opinion of the Economic and Social Committee (2),",باعتبار المعاهدة المؤسسة للجماعة الأوروبية، وخاصة المواد 57 (2) و 66 و 100 أ منها،
2099,"(2) Whereas Directives 92/50/EEC (5), 93/36/EEC (6) and 93/37/EEC (7) coordinated the national procedures relating to public service, public supply and public works contracts respectively, in order to introduce equal conditions of competition for such contracts in all the Member States;",التصرف وفقا للإجراءات المشار إليها في المادة 189 ب من المعاهدة (3)،
2100,"(5) Whereas certain provisions of the Agreement introduce more favourable conditions for tenderers than those laid down in Directives 92/50/EEC, 93/36/EEC and 93/37/EEC;",(3) في حين أن السلطات المتعاقدة المغطاة في الاتفاقية التي تتماشى مع التوجيهات 92/50 و 93/36 و 93/37، بصيغتها المعدلة بموجب هذا التوجيه، والتي تطبق ذات الأحكام فيما يتعلق بالمقاولين والموردين ومقدمي الخدمات من دول العالم الثالث الموقعين على الاتفاقية، فهي بالتالي متوائمة مع الاتفاقية؛
2101,(8) Whereas the application of these Directives must be simplified and the balance which has been reached in the current Community legislation in the field of public procurement must be maintained as far as possible;,(6) في حين يتم منح العقود بواسطة التعاقد مع السلطات بالمعنى المقصود في الاتفاقية، تكون فرص الحصول على الخدمات العامة والإمداد العام وعقود الأشغال العامة المتاحة بموجب معاهدة المشاريع والمنتجات من الدول الأعضاء ، على الأقل مواتية مثل شروط الحصول على العقود العامة داخل الجماعة الممنوحة وفقا للترتيبات الواردة في اتفاقية المشاريع والمنتجات من بلدان ثالثة موقعة على تلك الاتفاقية ؛
2102,"(11) Whereas the Commission shall make available to small and medium-sized undertakings the training and information materials they need to enable them to participate fully in the changed procurement market,",(9) لما كان من الضروري تمديد تطبيق بعض التعديلات من التوجيه رقم 92/50 لجميع الخدمات المشمولة في هذا التوجيه؛
2103,(a) paragraphs 1 and 2 shall be replaced by the following:,تم اعتماد هذا التوجيه:
2104,"- public service contracts concerning the services referred to in Annex I A with the exception of the services in category 8 and the telecommunications services in category 5 under CPC references 7524, 7525 and 7526:",1. (أ) يطبق هذا التوجيه على:
2105,"(b) The value in ecus and in national currencies of the thresholds laid down in subparagraph (a) shall, in principle, be revised every two years with effect from 1 January 1996. The calculation of these values shall be based on the average daily values of these currencies expressed in ecus and of the ecus expressed in SDRs over the 24 months terminating on the last day of August preceding the 1 January revision.",(i) الممنوحة من السلطات المتعاقدة والمدرجة في المرفق 1 من التوجيه رقم 93/36  حيث يقدر صافي القيمة لضريبة القيمة المضافة ليس أقل مما يعادل 130000 إيكو من حقوق السحب الخاصة؛
2106,"2. For the purposes of calculating the estimated value of the contract, the contracting authority shall include the estimated total remuneration of the service provider, taking account of the provisions of paragraphs 3 to 7.`",يتم مراجعة طريقة الحساب المنصوص عليها في هذه الفقرة الفرعية، بناء على اقتراح من اللجنة الاستشارية للمشتريات العامة، من حيث المبدأ بعد عامين من تطبيقها الأولي.
2107,"'1. The contracting authority shall, within 15 days of the date on which a written request is received, inform any eliminated candidate or tenderer of the reasons for rejection of his application or his tender, and any tenderer who has made an admissible tender of the characteristics and relative advantages of the tender selected as well as the name of the successful tenderer.",(ب) تلغى الفقرة 8.
2108,3. Article 13 (1) and (2) shall be replaced by the following:,مع ذلك يجوز أن تقرر السلطات التعاقد حجب بعض المعلومات على منح العقود المشار إليها في الفقرة الفرعية الأولى ، وذلك لأن كشف مثل هذه المعلومات من شأنه أن يعيق إنفاذ القانون أو ربما يتعارض مع المصلحة العامة أو يمس بالمصالح التجارية المشروعة لمشاريع معينة، عامة أو خاصة، أو قد يخل بالمنافسة العادلة بين مقدمي الخدمات.
2109,"- the threshold laid down in (i) of the second indent of Article 7 (1) (a), as regards the services referred to in Annex I A with the exception of the services in category 8 and the telecommunications services in category 5 under CPC references 7524, 7525 and 7526, awarded by the contracting authorities listed in Annex I to Directive 93/36/EEC, or",1. تطبق هذه المادة على تصميم المسابقات التي تنظم في إطار إجراء يؤدي إلى منح عقد الخدمة صافي قيمة ضريبته المضافة المقدرة ليست أقل من:
2110,"- the threshold laid down in Article 7 (1) (a), first indent, as regards the services referred to in Annex I B, the services in category 8 in Annex I A and the telecommunications services in category 5 of Annex I A under CPC references 7524, 7525 and 7526, awarded by the contracting authorities referred to in Article 1 (b), or",الحد المنصوص عليها في الفقرة (ب) من الفقرة الفرعية الثانية من المادة 7 (1) (أ)، فيما يتعلق بالخدمات المشار إليها في المرفق 1 أ باستثناء الخدمات في الفئة 8 وخدمات الاتصالات في فئة 5 بموجب مرجعيات CBC 7524 و 7525 و 7526، التي تمنحها السلطات المتعاقدة والمدرجة في المادة 1 (ب)، باستثناء تلك المشار إليها في المرفق 1 من التوجيه 93/36، أو
